SNMPv2-SMI::transmission.127.1.1.4.1.2.392041 = Counter32: 91073149;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392042 = Counter32: 4183427837;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392043 = Counter32: 3839501626;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392048 = Counter32: 2413199523;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392049 = Counter32: 2021858932;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392050 = Counter32: 856368058;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392051 = Counter32: 996067990;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392052 = Counter32: 4165787556;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392053 = Counter32: 3643623542;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392088 = Counter32: 1329177515;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392089 = Counter32: 1321980943;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392090 = Counter32: 1469230585;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392091 = Counter32: 1501511385;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392092 = Counter32: 208274099;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392093 = Counter32: 94293479;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392094 = Counter32: 3755400538;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392095 = Counter32: 3541847499;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392096 = Counter32: 4289304377;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392097 = Counter32: 3934666149;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392098 = Counter32: 1743655098;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392099 = Counter32: 1363878252;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392100 = Counter32: 2392812528;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392101 = Counter32: 1634130080;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392136 = Counter32: 4278887085;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392137 = Counter32: 3915683713;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392138 = Counter32: 4051692462;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392139 = Counter32: 3724908386;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392144 = Counter32: 2527626827;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392145 = Counter32: 1812907452;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392146 = Counter32: 1885090023;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392147 = Counter32: 1876372028;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392148 = Counter32: 207327787;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392149 = Counter32: 648522090;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392232 = Counter32: 679671139;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392233 = Counter32: 468716719;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392234 = Counter32: 280272631;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392235 = Counter32: 172749629;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392236 = Counter32: 2422787495;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392237 = Counter32: 2447423934;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392240 = Counter32: 295414630;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392241 = Counter32: 274878299;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392242 = Counter32: 293190787;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392243 = Counter32: 239915914;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392244 = Counter32: 263808301;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392245 = Counter32: 266370183;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392280 = Counter32: 3459326508;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392281 = Counter32: 3198813727;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392282 = Counter32: 3427039777;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392283 = Counter32: 3101133382;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392284 = Counter32: 3647070547;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392285 = Counter32: 3385945393;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392288 = Counter32: 2765395017;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392289 = Counter32: 2761804200;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392290 = Counter32: 2992951725;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392291 = Counter32: 2836089309;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392292 = Counter32: 2212458077;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.392293 = Counter32: 3483819341;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394348 = Counter32: 3231941621;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394349 = Counter32: 3437322890;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394350 = Counter32: 3244935839;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394351 = Counter32: 2635462135;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394352 = Counter32: 3337931115;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394353 = Counter32: 2372352099;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394354 = Counter32: 2091634468;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394355 = Counter32: 2755595807;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394356 = Counter32: 1614114004;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394357 = Counter32: 214404890;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394392 = Counter32: 1106281932;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394393 = Counter32: 403669368;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394394 = Counter32: 84327599;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394395 = Counter32: 103510952;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394396 = Counter32: 4288300762;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394397 = Counter32: 3833025485;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394398 = Counter32: 3545765753;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394399 = Counter32: 2913715038;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394440 = Counter32: 4054175618;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394441 = Counter32: 3945777582;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394442 = Counter32: 3675603163;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394443 = Counter32: 3340449193;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394448 = Counter32: 3605104488;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394449 = Counter32: 3743995706;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394450 = Counter32: 3647156360;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394451 = Counter32: 3591333237;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394488 = Counter32: 41965492;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394489 = Counter32: 2784887267;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394490 = Counter32: 4239382090;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394491 = Counter32: 2479104389;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394492 = Counter32: 527681826;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394493 = Counter32: 280087931;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394496 = Counter32: 3711364477;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394497 = Counter32: 4035096514;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394498 = Counter32: 3868833363;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394499 = Counter32: 3729826447;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394500 = Counter32: 3276451973;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394501 = Counter32: 3014807613;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394584 = Counter32: 3837614849;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394585 = Counter32: 3741859211;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394586 = Counter32: 3744244798;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394587 = Counter32: 3160761415;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394588 = Counter32: 3171215546;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394589 = Counter32: 2865844343;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394592 = Counter32: 3016188363;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394593 = Counter32: 2995668483;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394594 = Counter32: 3251676929;127.0.192.8 
SNMPv2-SMI::transmission.127.1.1.4.1.2.394595 = Counter32: 3105409056;127.0.192.8 
